uf,ano,setor,quantidade,proporcao
SP,2024,Serviços Comerciais,266153,0.004055684229189062
SP,2021,Comércio de Varejo,241558,0.0036809014778509033
SP,2024,Comércio de Varejo,220664,0.0033625151876919487
SP,2022,Comércio de Varejo,218403,0.0033280616889818215
SP,2020,Serviços Comerciais,207357,0.0031597408810419433
SP,2020,Comércio de Varejo,205411,0.0031300874053719267
SP,2023,Comércio de Varejo,204827,0.0031211883150372454
SP,2006,Produtor Manufatureiro,201997,0.0030780642985181565
SP,2024,Transportes,192958,0.0029403264945195547
SP,2019,Comércio de Varejo,180099,0.002744378887304373
SP,2023,Serviços Comerciais,166633,0.002539181711881741
SP,2016,Serviços Comerciais,165866,0.0025274940367332813
SP,2022,Serviços Comerciais,161390,0.002459287995058567
SP,2018,Comércio de Varejo,157987,0.002407432508056991
SP,2024,Consumo de Serviços,153368,0.0023370474083037503
SP,2012,Serviços Comerciais,151986,0.002315988259600789
SP,2021,Serviços Comerciais,149582,0.0022793557028121356
SP,2017,Comércio de Varejo,145711,0.0022203687530081098
SP,2013,Comércio de Varejo,142928,0.0021779609304029422
SP,2023,Transportes,141713,0.0021594465558196583
SP,2023,Consumo de Serviços,140385,0.0021392102682092876
SP,2014,Comércio de Varejo,140139,0.0021354616787874867
SP,2015,Comércio de Varejo,138174,0.0021055186779182253
SP,2021,Miscelânea,135841,0.0020699680310846446
SP,2016,Comércio de Varejo,134363,0.002047446018217078
SP,2011,Comércio de Varejo,133705,0.00203741930342218
SP,2022,Consumo de Serviços,133385,0.002032543089540163
SP,2012,Comércio de Varejo,133256,0.002030577365818975
MG,2024,Serviços Comerciais,128434,0.0019570989178843297
SP,2021,Consumo de Serviços,127914,0.0019491750703260519
SP,2022,Transportes,125179,0.001907498679803187
SP,2024,Miscelânea,125099,0.0019062796263326826
SP,2024,Serviços de Saúde,124846,0.0019024243697322127
SP,2020,Miscelânea,124059,0.001890431931216127
SP,2025,Transportes,121735,0.0018550184278979776
SP,2024,Serviços Industriais,119801,0.0018255478102485367
SP,2021,Serviços Industriais,117236,0.0017864619083504934
SP,2019,Serviços Comerciais,116828,0.0017802447356509215
SP,2022,Miscelânea,116155,0.0017699894483303043
SP,2008,Serviços Comerciais,114989,0.0017522217439977046
SP,2022,Serviços Industriais,114727,0.001748229343881803
MG,2020,Serviços Comerciais,113130,0.0017238939889768613
SP,2025,Comércio de Varejo,112574,0.0017154215673568566
SP,2023,Serviços de Saúde,112503,0.001714339657401784
SP,2023,Serviços Industriais,112280,0.0017109415458527535
SP,2004,Serviços Comerciais,112052,0.0017074672434618163
SP,2022,Serviços de Saúde,111994,0.0017065834296957007
SP,2023,Miscelânea,110899,0.0016898976353181734
SP,2019,Serviços Industriais,110573,0.0016849299924258684
SP,2019,Miscelânea,108130,0.0016477031470703441
SP,2021,Transportes,106947,0.001629676393875262
SP,2010,Comércio de Varejo,106387,0.001621143019581732
MG,2012,Serviços Comerciais,105927,0.0016141334621263324
SP,2020,Serviços Industriais,102957,0.0015688761020338613
SP,2021,Serviços de Saúde,102414,0.0015606017766028133
MG,2016,Serviços Comerciais,102239,0.0015579350971360853
SP,2019,Consumo de Serviços,100439,0.001530506394049739
SP,2020,Consumo de Serviços,99893,0.0015221863541135473
SP,2019,Transportes,99384,0.001514430126407464
SP,2018,Serviços Comerciais,99050,0.0015093405781681085
MG,2021,Comércio de Varejo,98959,0.00150795390484541
SP,2025,Serviços Comerciais,98164,0.0014958395609822738
